month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2019,Kennedy Heights,31,11,0,20,231.17,465.09,5057,2619,865,427,34,3.17,0.107674685,0.909102727,1.92,1,470301,1490854.17,131155.38,0.087973313,11986,0.025485806,1.022561845,0,0,0,0,0,0,0,0,0,0,0
1,2019,Linwood,31,11,0,20,231.17,465.09,687,268,202,127,39,3.17,0.28358209,0.750871946,2.56,1,63891,202534.47,35346.84,0.174522589,4316,0.06755255,0.992947085,0,0,0,0,0,0,0,0,0,0,0
1,2019,Lower Price Hill,31,11,0,20,231.17,465.09,761,249.3715139,284.9960159,83.37649402,51.54183267,3.17,0.531914894,0.52970774,2.29,1,70773,224350.41,61691.59437,0.274978746,3507.876494,0.04956518,0.854251666,0,0,0,0,0,0,0,0,0,0,0
1,2019,Madisonville,31,11,0,20,231.17,465.09,10838,5173,2288,1160,273,3.17,0.108061086,0.874742712,2.131092452,1,1007934,3195150.78,259985.31,0.081368714,37258,0.036964722,0.993076148,0,0,0,0,0,0,0,0,0,0,0
1,2019,Millvale,31,11,0,20,231.17,465.09,2150,863.3146461,890.4344779,502.4702172,66.29292221,3.17,0.530541012,0.571131307,2.48,1,199950,633841.5,213022.3013,0.336081341,14787.84163,0.073957698,0.981170345,0,0,0,0,0,0,0,0,0,0,0
1,2019,Mt. Adams,31,11,0,20,231.17,465.09,1629,1030,92,46,26,3.17,0,0.971985466,1.58,0.13,151497,480245.49,0,0,243.36,0.001606368,0.973591834,0,0,0,0,0,0,0,0,0,0,0
1,2019,Mt. Airy,31,11,0,20,231.17,465.09,8950,3913.515048,2508.398814,1501.777465,430.7405486,3.17,0.277678133,0.769444247,2.274527374,1,832350,2638549.5,505412.1653,0.191549245,50245.46835,0.060365794,1.021359286,0,0,0,0,0,0,0,0,0,0,0
1,2019,Mt. Auburn,31,11,0,20,231.17,465.09,4641,2132,961,570,133,3.17,0.166041276,0.844227446,2.01,1,431613,1368213.21,164641.86,0.120333482,18278,0.042348122,1.006909051,0,0,0,0,0,0,0,0,0,0,0
1,2019,Mt. Lookout,31,11,0,20,231.17,465.09,4996,2118.660323,1233.278387,701.3706452,159.8841935,3.17,0,0.972236101,2.369967974,0.13,464628,1472870.76,0,0,2911.041355,0.006265316,0.978501417,0,0,0,0,0,0,0,0,0,0,0
1,2019,Mt. Washington,31,11,0,20,231.17,465.09,12297,5492.241856,3154.57833,1700.554633,391.2559107,3.17,0.160947887,0.892556094,2.225589981,0.45,1143621,3625278.57,411123.1533,0.113404569,24474.18336,0.021400607,1.02736127,0,0,0,0,0,0,0,0,0,0,0
1,2019,North Avondale - Paddock Hills,31,11,0,20,231.17,465.09,4236,1513.627567,606.17009,288.3442539,103.5450687,3.17,0.20760095,0.852837131,2,1,393948,1248815.16,146145.4731,0.117027305,10189.12239,0.02586413,0.995728566,0,0,0,0,0,0,0,0,0,0,0
1,2019,North Fairmount,31,11,0,20,231.17,465.09,1621,699.4673031,543.1704057,297.8926014,85.88591885,3.17,0.369469027,0.633179512,2.26,1,150753,477887.01,120193.908,0.251511143,9978.241527,0.06618934,0.950879995,0,0,0,0,0,0,0,0,0,0,0
1,2019,Northside,31,11,0,20,231.17,465.09,7865,3918,1410,678,239,3.17,0.164369576,0.88677349,2.006624285,1,731445,2318680.65,299517.96,0.129176029,23842,0.032595752,1.048545272,0,0,0,0,0,0,0,0,0,0,0
1,2019,Oakley,31,11,0,20,231.17,465.09,12034,6473,1256,478,247,3.17,0.052216901,0.941124033,1.834845438,1,1119162,3547743.54,157200.42,0.044309973,18850,0.016842959,1.002276965,0,0,0,0,0,0,0,0,0,0,0
1,2019,Over-the-Rhine,31,11,0,20,231.17,465.09,5200,2498,1076,598,132,3.17,0.325060048,0.812888983,1.860265385,0.65,483600,1533012,377653.08,0.246347113,12337,0.025510753,1.084746849,0,0,0,0,0,0,0,0,0,0,0
